"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Taurean Prince","Mil","F","30.9","49","25.6","12.2","14.1","24","0.792","104","0.442","189","0.46","0.602","0.613","7.6","3.7","2","0.8","0.1","1","11.3","9.6","13.3","6","115.3","108.4"
"","Nick Smith Jr.","Cha","G","20.8","30","17.7","19.9","11","11","0.818","97","0.454","121","0.355","0.498","0.507","7.5","1.9","1.6","0.4","0.2","0.9","9.4","9.1","11","6.4","101.7","113.8"
"","Sam Hauser","Bos","F","27.2","42","19.9","14.3","5.9","2","1","36","0.694","221","0.398","0.611","0.613","7.5","3","1","0.7","0.2","0.4","10.5","8.5","11.5","5.7","123","108.8"
"","Josh Green","Cha","G","24.2","45","28.6","11","12.8","50","0.7","116","0.474","156","0.41","0.555","0.573","7.5","2.8","1.5","1.1","0.2","0.9","10.3","9","11.8","4.4","114","109.8"
"","Vasilije Micic","Cha","G","31.1","36","21.2","20.2","21.3","41","0.829","148","0.338","125","0.36","0.43","0.462","7.5","2.4","3.5","0.4","0","2.1","9.9","11","13.4","7.5","93.7","114.5"
"","Shake Milton","Bro","G","28.4","27","18.2","17.2","11.3","33","0.758","85","0.529","72","0.389","0.554","0.58","7.4","1.9","2.4","0.6","0","0.7","9.3","9.7","11.6","7.1","119.2","112.1"
"","Cason Wallace","Okc","G","21.3","46","27.4","11.9","9.8","18","0.778","177","0.525","135","0.333","0.514","0.524","7.3","3.5","2.4","1.8","0.6","0.7","10.7","9.7","13.1","5.8","113.5","102.3"
"","Jake LaRavia","Mem","F","23.3","47","20.9","14.3","22.2","96","0.698","151","0.517","90","0.444","0.573","0.605","7.3","4.4","2.8","0.9","0.4","1.5","11.7","10.1","14.5","8.6","117.9","105.3"
"","Quinten Post","Gol","C","24.9","12","14.4","20","8.8","7","1","30","0.567","42","0.357","0.549","0.573","7.2","3.5","1.8","0.2","0.3","0.6","10.7","8.9","12.4","9.9","120.3","102.7"
"","Bones Hyland","Lac","G","24.4","20","11.1","29.1","17.3","26","0.885","34","0.412","80","0.388","0.531","0.574","7.2","1.2","1.4","0.9","0.2","1.2","8.4","8.6","9.8","8.3","105.7","99.5"
"","Johnny Juzang","Uta","G","23.9","33","17.6","15.8","7.7","25","0.88","54","0.463","138","0.399","0.56","0.584","7.2","2.7","1","0.4","0.2","0.5","9.8","8.2","10.8","6.1","119.6","111.4"
"","Lonzo Ball","Chi","G","27.3","30","21.6","15.6","15.5","21","0.857","34","0.471","162","0.34","0.503","0.524","7.2","3.4","3.5","1.5","0.5","1.2","10.6","10.6","14.1","8.2","109.2","110.8"
"","Cameron Payne","Nyk","G","30.5","45","14.3","21.1","9.8","37","0.892","100","0.47","167","0.389","0.541","0.568","7.2","1.4","2.5","0.6","0.2","0.6","8.6","9.7","11.1","8.2","120.9","106"
"","Eric Gordon","Phi","G","36.1","37","20.2","14.5","11.1","48","0.75","66","0.47","134","0.418","0.575","0.601","7.2","1.2","1.7","0.7","0.3","0.7","8.4","8.9","10","4.8","118.4","117.7"
"","Kelly Olynyk","Tor","F-C","33.8","24","16","18.9","22.8","43","0.791","75","0.533","43","0.442","0.581","0.624","7.1","3.7","2.3","0.7","0.3","1.5","10.8","9.5","13.2","9.8","114.2","102.8"
"","Sam Merrill","Cle","G","28.7","43","18.9","15.2","7.2","26","0.962","34","0.618","223","0.359","0.549","0.572","7.1","1.9","1.6","0.6","0.2","0.5","9","8.7","10.6","5.9","119.6","107.6"
"","Andre Drummond","Phi","C","31.5","28","19.2","19.1","22.8","61","0.574","148","0.541","11","0.091","0.513","0.533","7.1","7.6","0.6","1.1","0.4","1.7","14.7","7.6","15.3","6.6","100.3","99.8"
"","Thomas Bryant","Ind","C-F","27.5","23","14.6","17.5","7.8","18","0.778","69","0.652","49","0.388","0.623","0.639","7","3.7","1","0.7","0.5","0.4","10.7","8","11.7","8.1","130.6","111.5"
"","Isaiah Jackson","Ind","F","23.1","5","16.8","17.6","17.7","14","0.5","23","0.609","0","0","0.609","0.6","7","5.6","1","0.6","1.6","1","12.6","8","13.6","8.1","118.8","98.6"
"","Dorian Finney-Smith","Lal","F","31.8","14","23.9","11.1","12.1","5","0.8","20","0.65","52","0.423","0.639","0.647","6.9","3.1","0.9","0.8","0","0.7","9.9","7.7","10.8","4.5","120.2","109"
"","Torrey Craig","Chi","F","34.1","9","12.5","17.4","0","4","0.75","10","0.7","35","0.429","0.656","0.663","6.9","2.8","0.6","0.2","0.1","0","9.7","7.4","10.2","7.2","137","107.2"
"","Jared Butler","Was","G","24.5","32","11.3","25.9","14.1","45","0.778","135","0.519","41","0.366","0.526","0.562","6.9","1.3","2.6","0.4","0.2","0.9","8.2","9.4","10.7","10.1","114.2","113.9"
"","Ryan Dunn","Pho","F","22.1","45","19.3","15.8","6.3","21","0.476","135","0.593","146","0.308","0.525","0.525","6.8","3.5","0.9","0.5","0.6","0.4","10.2","7.7","11.2","5.8","109.3","107.8"
"","Elfrid Payton","Nor","G","31","7","20.5","19.6","30.2","2","0.5","45","0.511","1","0","0.5","0.501","6.7","3.4","6.9","1.4","0.4","2.9","10.1","13.6","17","10.5","99.8","114.2"
"","Ricky Council IV","Phi","G","23.5","42","15.2","19.9","9.8","78","0.808","130","0.5","99","0.303","0.48","0.537","6.7","2.5","1.1","0.5","0.2","0.6","9.2","7.9","10.3","7","111.9","113.4"
"","Vit Krejci","Atl","G","24.6","36","20.3","13.4","14.8","27","0.704","66","0.561","129","0.372","0.559","0.573","6.6","2.4","2.5","0.7","0.5","0.9","9","9.1","11.6","6.7","112.9","109.7"
"","Trey Lyles","Sac","F","29.3","40","19.8","14.3","9.3","44","0.75","71","0.521","152","0.342","0.516","0.543","6.6","4.7","1","0.6","0.5","0.6","11.3","7.5","12.2","6.3","113.2","111"
"","Precious Achiuwa","Nyk","F","25.4","30","20.5","13.6","14.1","36","0.611","131","0.573","21","0.381","0.572","0.584","6.5","5.8","1","1","0.8","0.8","12.4","7.6","13.4","6.5","120","106.3"
"","Ajay Mitchell","Okc","G","22.6","34","16.5","15.9","14.3","33","0.848","116","0.543","51","0.431","0.575","0.606","6.5","2","1.7","0.7","0.1","0.8","8.4","8.1","10.1","6.8","117.5","100.8"
"","Haywood Highsmith","Mia","F","28.2","47","24","11.4","12.1","26","0.692","102","0.578","144","0.396","0.587","0.596","6.5","3.1","1.2","0.9","0.6","0.7","9.6","7.7","10.9","4.8","114.5","108"
"","Ronald Holland II","Det","F","19.6","51","15.5","18.5","14.2","64","0.797","167","0.581","104","0.26","0.507","0.545","6.4","2.7","0.8","0.6","0.1","0.9","9.1","7.2","9.9","6.2","103.9","104.8"
"","KJ Martin","Phi","F","24.1","24","20","11.4","10.8","29","0.828","78","0.679","21","0.381","0.657","0.689","6.4","3","0.8","0.5","0.7","0.5","9.4","7.2","10.2","5","133.6","106.6"
"","Simone Fontecchio","Det","F","29.2","46","17.6","15.8","12.6","59","0.814","94","0.489","148","0.338","0.5","0.541","6.3","2.8","0.8","0.4","0.2","0.8","9.2","7.2","10","5.5","107.4","111.2"
"","Dru Smith","Mia","G","27.1","14","19.2","13.8","21.7","13","0.769","31","0.484","30","0.533","0.639","0.659","6.3","2.6","1.6","1.5","0.4","1.2","8.9","7.9","10.5","6.2","115.5","102.7"
"","Davion Mitchell","Tor","G","26.4","44","24.6","13.2","24.2","37","0.676","127","0.504","117","0.359","0.52","0.536","6.3","2","4.6","0.7","0.2","1.8","8.3","11","12.9","6.3","105.1","112.4"
"","Isaiah Collier","Uta","G","20.3","41","22.7","17.7","29.5","44","0.636","177","0.492","86","0.209","0.433","0.453","6.2","2.9","5.3","0.8","0.2","2.7","9.1","11.6","14.5","8","92.4","112.7"
"","Jarace Walker","Ind","F","21.4","48","16.7","16.7","18.6","56","0.625","113","0.566","119","0.378","0.567","0.581","6.2","3.2","1.5","0.9","0.4","1.1","9.4","7.7","10.9","7.4","104.1","106"
"","Ben Simmons","Bro","G-F","28.5","33","25","14.4","34.1","26","0.692","170","0.547","0","0","0.547","0.562","6.2","5.2","6.9","0.8","0.5","2.7","11.4","13.1","18.3","9.7","108.7","107.7"
"","Jackson Rowe","Gol","F","28.1","1","13.8","11.8","0","2","0","0","0","3","0.667","1","0.773","6","5","0","1","0","0","11","6","11","0","123.9","92"
"","Jaylin Williams","Okc","F","22.6","22","17.1","15.8","11.1","10","1","37","0.541","83","0.325","0.504","0.527","6","5.6","2.4","0.5","0.7","0.7","11.6","8.4","14","10.1","119.1","95.9"
"","Josh Okogie","Pho","G","26.4","25","14","18.2","12.3","32","0.688","72","0.556","42","0.381","0.561","0.586","6","2.9","0.6","0.8","0.4","0.6","8.9","6.6","9.4","6.2","115.5","111"
"","Kyle Filipowski","Uta","C","21.3","39","18","14.7","18.2","59","0.627","107","0.607","72","0.306","0.547","0.568","6","4.6","1.8","0.5","0.1","1","10.6","7.8","12.4","8.2","112.6","109.2"
"","Matas Buzelis","Chi","F","20.3","50","14.2","17.7","10.4","50","0.8","129","0.488","121","0.364","0.516","0.548","6","2.8","0.4","0.3","0.9","0.6","8.8","6.4","9.2","5.3","105.3","110.2"
"","James Wiseman","Ind","C","23.9","1","4.6","45.9","0","2","1","3","0.667","1","0","0.5","0.615","6","1","0","0","0","0","7","6","7","0","123.7","119.1"
"","Dean Wade","Cle","F-C","28.2","35","22.8","10.8","5.8","25","0.52","30","0.7","149","0.349","0.553","0.555","6","5.1","1.6","0.9","0.5","0.3","11.1","7.6","12.7","6.4","123.8","105.1"
"","Terance Mann","Lac","G-F","28.3","37","19.8","13.8","11.3","32","0.719","120","0.508","75","0.347","0.513","0.533","6","2.9","1.6","0.8","0.3","0.7","8.9","7.6","10.5","6.1","111.9","104.4"
"","Jonathan Isaac","Orl","F","27.3","46","16.6","16.8","7.6","75","0.667","127","0.551","116","0.25","0.467","0.502","6","4.8","0.5","0.8","1.2","0.4","10.9","6.5","11.4","5.9","111.3","102.2"
"","KJ Simpson","Cha","G","22.5","18","17.9","20.1","14.2","30","0.8","67","0.388","53","0.189","0.342","0.398","5.9","2.2","2.2","0.7","0.2","1.1","8.1","8.1","10.3","6.8","92.5","111.3"
"","Keaton Wallace","Atl","G","25.9","23","17.3","15.4","18.4","11","1","57","0.509","62","0.355","0.521","0.545","5.9","1.5","2.3","1","0.3","1.2","7.3","8.1","9.6","6.3","103.1","111.3"
"","Javonte Green","Nor","G","31.5","46","22.1","11","11.4","66","0.758","112","0.509","97","0.371","0.531","0.571","5.9","3.6","0.9","1.1","0.6","0.6","9.5","6.8","10.4","4.8","116.8","116.2"
"","Talen Horton-Tucker","Chi","G","24.2","40","11.5","21","12.4","48","0.729","103","0.515","81","0.383","0.541","0.57","5.9","1.7","1.3","0.4","0.2","0.7","7.6","7.2","8.9","8.2","111.4","112.2"
"","Kris Dunn","Lac","G","30.9","43","22.5","13.6","16","12","0.5","119","0.555","132","0.295","0.496","0.498","5.9","3.3","2.7","1.5","0.3","1.1","9.2","8.7","11.9","6.7","103.7","100.1"
"","Jamal Shead","Tor","G","22.5","45","17","17.5","21.9","31","0.774","133","0.481","105","0.352","0.502","0.523","5.8","1.1","3.5","0.6","0.1","1.5","7","9.4","10.5","6.6","102.7","112.7"
"","Marcus Sasser","Det","G","24.4","40","13.9","18.3","16.1","24","0.917","94","0.585","98","0.337","0.544","0.57","5.8","1.3","2.3","0.7","0.1","0.9","7.1","8","9.3","7.4","113.4","109.1"
"","Isaac Okoro","Cle","F-G","24","28","19.7","11.9","7.7","25","0.72","53","0.472","78","0.397","0.546","0.567","5.8","2.1","1.6","0.7","0.4","0.4","7.8","7.4","9.5","5.5","124.3","106.8"
"","Drew Eubanks","Uta","F-C","28","37","15.4","14.9","17.6","57","0.632","140","0.607","5","0.6","0.617","0.632","5.8","4.5","1.2","0.3","0.9","0.8","10.4","7","11.6","8.2","120.1","111.8"
"","Kenrich Williams","Okc","G-F","30.2","38","14.4","15.6","10.9","17","0.882","88","0.625","84","0.369","0.59","0.607","5.7","3.3","1","0.7","0.1","0.6","9.1","6.8","10.1","7.4","121.1","96.9"
"","Robert Williams III","Por","C-F","27.3","18","17.7","12.2","19.9","17","0.882","65","0.646","3","0.333","0.64","0.676","5.7","6","1.1","0.6","1.7","0.9","11.7","6.8","12.8","7.6","125.5","107.1"
"","Rob Dillingham","Min","G","20.1","26","11.6","23.8","21.7","7","0.429","76","0.513","50","0.44","0.571","0.569","5.7","1.2","2.4","0.3","0","1.3","6.8","8.1","9.2","8.8","105.1","108.2"
"","Quenton Jackson","Ind","G","26.4","18","14.1","16.4","12.6","21","0.714","52","0.577","24","0.375","0.572","0.598","5.7","1.5","1.7","0.5","0.3","0.6","7.2","7.4","8.9","6.9","120.4","107.7"
"","Alec Burks","Mia","G","33.6","26","16.1","13.9","7.4","26","0.808","28","0.357","84","0.429","0.571","0.604","5.7","2.1","1.1","0.6","0.2","0.3","7.8","6.8","8.9","5.9","121.8","112.4"
"","Ben Sheppard","Ind","G","23.6","35","20.5","11.6","6.4","13","0.846","53","0.528","121","0.355","0.532","0.545","5.6","2.6","1.3","0.6","0.3","0.3","8.2","6.9","9.5","5.2","116","109.3"
"","Isaiah Stewart","Det","F-C","23.7","46","20.2","11.7","16.9","46","0.826","164","0.591","33","0.242","0.553","0.589","5.6","5.8","1.7","0.4","1.3","0.9","11.3","7.3","13","7.5","122.4","104"
"","DaQuan Jeffries","Cha","G-F","27.4","17","17.4","12.6","9.5","9","0.889","32","0.531","44","0.386","0.559","0.582","5.5","2.8","0.9","0.7","0.4","0.5","8.3","6.4","9.2","5.5","119.7","106.5"
"","Kevin Love","Mia","F-C","36.4","19","10.9","25.7","11.6","19","0.684","41","0.341","58","0.362","0.46","0.484","5.5","4.1","1","0.7","0.1","0.7","9.5","6.5","10.5","10.4","100.5","100.6"
"","Jeremiah Robinson-Earl","Nor","F","24.3","42","17.9","13.7","12.5","29","0.862","109","0.56","93","0.301","0.51","0.538","5.5","4.7","1.2","0.7","0.1","0.7","10.2","6.7","11.4","7","114.4","114.7"
"","Lindy Waters III","Gol","F","27.5","38","17.2","14.6","7.6","11","0.727","57","0.474","148","0.331","0.49","0.498","5.5","2.6","1.1","0.6","0.3","0.4","8.1","6.6","9.2","5.8","104.5","108.3"
"","Jamison Battle","Tor","F","23.7","35","12.6","15.5","7.7","14","0.857","36","0.583","108","0.417","0.615","0.629","5.4","1.8","0.9","0.1","0.1","0.3","7.2","6.3","8.1","6.5","125","114.8"
"","Alex Caruso","Okc","G","30.9","29","19","14.2","10.6","12","0.75","66","0.515","94","0.287","0.466","0.478","5.4","2.7","2.4","1.7","0.5","0.7","8.1","7.9","10.6","6.9","108.1","97.8"
"","Seth Curry","Cha","G","34.5","41","13.6","15.2","8.8","18","0.889","84","0.5","91","0.451","0.591","0.61","5.4","1.4","0.6","0.4","0.1","0.4","6.8","6","7.4","4.9","119.2","113.5"
"","Isaiah Wong","Cha","G","24","18","12.5","22.1","14.4","32","0.719","60","0.383","29","0.31","0.41","0.466","5.3","1.7","1.4","0.6","0","0.8","7","6.8","8.4","7.4","100.5","110.4"
"","Kobe Bufkin","Atl","G","21.4","10","12.4","20.7","14.5","18","0.722","28","0.5","19","0.211","0.426","0.483","5.3","2.1","1.7","0.3","0.2","0.8","7.4","7","9.1","8.6","101.9","112.1"
"","Jaxson Hayes","Lal","C-F","24.7","27","17.1","11.8","18.8","40","0.75","84","0.679","2","0","0.663","0.695","5.3","4.1","0.9","0.5","0.9","0.7","9.4","6.3","10.3","6.3","130.9","103.6"
"","Gary Payton II","Gol","G","32.2","39","13.7","15.6","14.5","28","0.714","111","0.685","48","0.229","0.582","0.598","5.3","3","1.3","0.6","0.3","0.7","8.3","6.5","9.6","8","117","102"
"","Kyle Anderson","Gol","F-G","31.4","36","15","15.6","10.6","27","0.667","117","0.487","52","0.365","0.506","0.522","5.3","3.1","2.3","0.7","0.6","0.6","8.3","7.5","10.6","8.9","116.4","107.7"
"","Jonathan Mogbo","Tor","F","23.3","38","16.6","14.3","16","49","0.714","134","0.493","28","0.357","0.5","0.537","5.2","4.1","1.5","0.7","0.4","0.8","9.3","6.7","10.8","7.6","113.8","108.4"
"","Kevon Looney","Gol","F","29","44","16.5","14.1","12.1","62","0.516","187","0.524","2","0","0.519","0.527","5.2","7","1.9","0.8","0.4","0.6","12.2","7","14","10","124.8","98.5"
"","Donovan Clingan","Por","C","21","37","16","14.9","22.1","36","0.694","129","0.566","22","0.273","0.543","0.566","5.1","6.4","0.7","0.4","1.5","1.2","11.5","5.8","12.3","7.1","110.3","99.4"
"","Neemias Queta","Bos","C","25.6","39","14.6","13","16.5","44","0.727","124","0.677","2","0","0.667","0.688","5.1","3.7","0.7","0.3","0.7","0.6","8.9","5.8","9.5","6.5","131.6","100.5"
"","Gabe Vincent","Lal","G","28.6","41","20.1","12.3","11.1","10","0.5","64","0.531","136","0.338","0.515","0.516","5.1","1.3","1.3","0.7","0.2","0.6","6.4","6.4","7.7","4.1","102","109.1"
"","Luke Kornet","Bos","C-F","29.6","45","16.8","10.8","11.8","59","0.763","142","0.648","0","0","0.648","0.682","5.1","4.9","1.5","0.5","0.9","0.4","10","6.6","11.5","8","150.2","104.1"
"","Alondes Williams","Det","G","25.6","1","3.7","22.9","0","0","0","1","1","1","1","1.25","1.25","5","0","1","0","0","0","5","6","6","0","0","0"
"","Vince Williams Jr.","Mem","G","24.4","4","14.5","22.9","22.5","5","0.2","16","0.5","8","0.125","0.396","0.382","5","3.8","2.8","0.5","0.5","1.8","8.8","7.8","11.5","10.4","87.6","99.4"
"","Mouhamed Gueye","Atl","F","22.2","5","13.6","19.5","3.1","1","0","17","0.647","14","0.071","0.403","0.398","5","3","0.4","1","0.4","0.2","8","5.4","8.4","5.3","86.8","109.4"
"","Ryan Rollins","Mil","G","22.6","33","12.2","18.9","18.1","23","0.826","77","0.545","58","0.362","0.544","0.572","5","1.5","1.2","0.7","0.4","0.9","6.5","6.2","7.7","6.8","104.8","102.8"
"","Monte Morris","Pho","G","29.6","38","13","17.5","9","40","0.85","92","0.5","69","0.304","0.481","0.529","5","1.4","1.7","0.4","0.1","0.4","6.4","6.6","8.1","7","114.1","117.9"
"","Jordan Miller","Lac","G","25","29","12.8","19","14.8","33","0.788","90","0.511","36","0.222","0.46","0.505","4.9","1.8","1.1","0.5","0.2","0.8","6.7","6","7.8","6.7","103.3","109"
"","Marvin Bagley III","Was","F","25.9","19","8.8","23.1","13.4","23","0.652","61","0.59","10","0.2","0.549","0.573","4.9","2.9","0.4","0.4","0.3","0.6","7.8","5.3","8.2","8.1","112.5","114.5"
"","Tidjane Salaun","Cha","F","19.5","35","18.5","14.6","14.4","35","0.686","67","0.388","111","0.279","0.407","0.437","4.8","4.1","1.1","0.6","0.2","0.9","8.9","5.9","10","6","94.3","109.9"
"","Trevelin Queen","Orl","G","27.9","22","15.4","16.4","15.4","11","0.818","49","0.49","55","0.291","0.462","0.482","4.8","1.6","1.4","1","0.4","0.9","6.4","6.1","7.7","5.7","98.5","102.8"
"","Oscar Tshiebwe","Uta","F-C","25.2","3","15.3","9.6","13.6","8","0.75","6","0.667","0","0","0.667","0.735","4.7","6.7","0","1.3","0","0.3","11.3","4.7","11.3","0","147.4","89.7"
"","Taylor Hendricks","Uta","F","21.2","3","24.8","12.3","9.8","4","0.75","6","0.167","12","0.25","0.306","0.354","4.7","5","0.7","1.7","1.3","0.7","9.7","5.3","10.3","4.1","87.5","108.7"
"","Sandro Mamukelashvili","San","F-C","25.7","31","8.3","19.3","12.3","27","0.704","38","0.763","54","0.426","0.69","0.703","4.7","2.4","0.5","0.2","0.3","0.4","7.1","5.2","7.6","8.6","128.2","108"
"","Mo Bamba","Lac","C","26.7","28","12.6","16.3","15.5","25","0.68","53","0.623","50","0.3","0.539","0.561","4.6","4.3","0.6","0.3","1","0.7","8.9","5.1","9.4","7.2","108.6","95"
"","Moussa Diabate","Cha","F","23","41","18.7","10.6","22.9","58","0.552","126","0.619","2","0","0.609","0.612","4.6","6.9","0.8","0.7","0.7","0.9","11.5","5.3","12.3","6.3","120.1","106.3"
"","Charles Bassey","San","C-F","24.3","32","10.8","18","16.6","33","0.636","110","0.573","0","0","0.573","0.59","4.6","4.6","0.4","0.4","0.9","0.7","9.2","5","9.6","7.5","115.4","100.5"
"","Zach Collins","San","F-C","27.2","36","11.8","17.1","14.8","35","0.886","86","0.547","46","0.304","0.515","0.566","4.6","2.8","1.4","0.4","0.4","0.6","7.4","6.1","8.9","8.9","118.6","100.1"
"","Kylor Kelley","Dal","C","27.5","4","13.6","9.9","9.7","6","0.667","9","0.778","0","0","0.778","0.773","4.5","4.5","0.3","0","0.5","0.3","9","4.8","9.3","5.4","156.3","105.8"
"","Trentyn Flowers","Lac","F","19.9","2","7.9","28.5","9.6","1","1","7","0.571","2","0","0.444","0.477","4.5","2","0","0","0","0.5","6.5","4.5","6.5","0","91.3","93.3"
"","Dariq Whitehead","Bro","G-F","20.5","8","7","23","10.7","3","0.333","4","0.25","21","0.524","0.7","0.684","4.5","0.6","0.1","0.4","0.1","0.4","5.1","4.6","5.3","3.7","111.8","116.7"
"","Jett Howard","Orl","G","21.4","43","10.9","19.5","10.4","18","0.833","53","0.509","127","0.323","0.492","0.511","4.5","1.2","0.6","0.2","0.2","0.5","5.7","5","6.2","5.4","101.6","106.1"
"","David Roddy","Atl","F","23.9","27","12.8","14.4","17.6","22","0.818","50","0.56","43","0.372","0.559","0.594","4.5","2.6","1.1","0.4","0.3","0.7","7.1","5.6","8.2","7.3","110.3","112.6"
"","Malaki Branham","San","F","21.7","30","9.6","22.2","19.8","20","0.85","60","0.467","53","0.396","0.527","0.558","4.5","1.1","0.9","0.2","0.1","0.9","5.6","5.4","6.5","6.9","96.3","113.9"
"","Tre Jones","San","G","25.1","28","16.1","12.1","18.4","33","0.758","67","0.552","26","0.308","0.527","0.572","4.4","2.1","3.7","0.6","0.2","0.8","6.5","8.1","10.2","8.1","127.7","111.4"
"","Paul Reed","Det","F","25.7","28","9.9","17.1","12.8","25","0.84","70","0.6","18","0.333","0.58","0.621","4.4","2.5","1","1.1","0.5","0.5","6.9","5.4","7.9","9","126.4","93.9"
"","Pat Connaughton","Mil","G","32.1","29","15.3","13.5","13","17","0.765","51","0.549","62","0.323","0.513","0.535","4.4","2.8","1.7","0.1","0.3","0.6","7.3","6.1","9","7.2","113","109.7"
"","Reggie Jackson","Phi","G","34.8","31","12.4","17.7","11.3","9","0.778","59","0.458","74","0.338","0.485","0.496","4.4","1.4","1.5","0.5","0.1","0.5","5.7","5.8","7.2","6.8","103.7","110.7"
"","Patty Mills","Uta","G","36.5","17","15.3","15","16.4","5","1","19","0.474","57","0.298","0.454","0.473","4.4","1.2","1.2","0.7","0.2","0.9","5.6","5.6","6.8","4.8","93.7","118.8"
"","Richaun Holmes","Was","F","31.3","13","12.6","12.5","11.3","12","0.833","37","0.622","2","0","0.59","0.632","4.3","4.1","0.9","0.2","0.5","0.4","8.4","5.2","9.3","8","131.6","111.8"
"","Antonio Reeves","Nor","G","22.2","20","9.3","20.1","5.9","8","0.875","38","0.526","42","0.31","0.494","0.515","4.3","0.9","0.7","0.3","0","0.3","5.2","5","5.9","6","108.2","122"
"","Julian Phillips","Chi","F","21.3","50","13","13.7","10.4","44","0.727","81","0.58","91","0.319","0.526","0.557","4.3","2","0.4","0.4","0.2","0.4","6.3","4.7","6.7","4.6","112.8","111.7"
"","Daniel Theis","Nor","F-C","32.8","38","16.4","11.6","16.2","37","0.838","92","0.565","37","0.243","0.508","0.558","4.3","4.3","1.6","0.5","0.5","0.7","8.6","5.8","10.2","7.5","117.9","109.7"
"","Aaron Holiday","Hou","G","28.4","36","11.4","15","12","19","0.895","41","0.512","83","0.373","0.544","0.574","4.2","0.9","1.2","0.4","0.1","0.5","5.2","5.4","6.4","5.8","119.3","106.1"
"","Kyle Lowry","Phi","G","38.9","31","19.4","10.5","15.3","31","0.806","27","0.407","83","0.337","0.482","0.53","4.2","2","2.9","1","0.3","0.6","6.2","7.1","9.1","6","118.4","108.9"
"","Jeff Green","Hou","F","38.4","14","10.4","13.3","9.2","9","0.778","15","0.867","24","0.333","0.641","0.663","4.1","1.3","0.2","0.2","0.1","0.3","5.4","4.3","5.6","3.9","127.6","105"
"","Thomas Bryant","Mia","C-F","27.5","10","11.5","13.4","6.6","11","1","11","0.545","17","0.353","0.536","0.624","4.1","3.2","0.4","0.1","0.9","0.2","7.3","4.5","7.7","6","130.9","106.3"
"","Cam Spencer","Mem","G","24.8","10","12.1","12.8","14.1","9","1","14","0.571","16","0.313","0.517","0.589","4","1.7","1.6","0.3","0.1","0.5","5.7","5.6","7.3","7.3","126.5","108"
"","Josh Richardson","Mia","G","31.4","8","18.7","14.1","17.2","4","1","16","0.313","22","0.273","0.368","0.402","4","1.5","1.5","1","0.1","1","5.5","5.5","7","4.4","87","105.5"
"","Pelle Larsson","Mia","G","24","32","12.9","13.4","10.9","33","0.667","51","0.588","47","0.319","0.536","0.564","4","1.5","0.9","0.5","0.1","0.4","5.4","4.9","6.4","5.4","115.4","103.3"
"","Andre Jackson Jr.","Mil","G","23.2","47","17.5","11.6","23.3","18","0.556","94","0.532","67","0.388","0.553","0.556","4","3.3","1.5","0.6","0.3","1","7.3","5.5","8.7","6.2","107","103.3"
"","Kris Murray","Por","F","24.5","42","13.7","13.8","12.1","32","0.438","92","0.587","61","0.262","0.51","0.509","4","2.2","0.9","0.4","0.2","0.5","6.2","4.9","7.1","5.8","108.3","115.6"
"","Gui Santos","Gol","F","22.6","26","12.5","12.9","17.5","19","0.632","27","0.593","48","0.417","0.613","0.624","4","2.6","1.2","0.3","0.1","0.6","6.6","5.2","7.7","7.4","121.6","105.8"
"","Jae'Sean Tate","Hou","F","29.3","31","11.4","14.4","12","37","0.676","74","0.554","21","0.286","0.526","0.562","4","2.1","0.8","0.6","0.1","0.4","6.2","4.9","7","6.6","120","96.2"
"","Mason Plumlee","Pho","F-C","34.9","49","17.5","10.7","25.1","73","0.616","129","0.581","2","0","0.573","0.598","4","6.4","1.9","0.4","0.8","0.9","10.3","5.9","12.2","8.3","124.2","102.9"
"","Devin Carter","Sac","G","22.9","15","10","21.3","11.9","18","0.722","29","0.379","30","0.267","0.39","0.441","3.9","2.6","1.4","0.3","0.2","0.5","6.5","5.3","7.9","9.7","99","106.6"
"","Cody Williams","Uta","F","20.2","26","21","11.7","15.5","22","0.636","57","0.368","63","0.238","0.363","0.389","3.9","2.2","1.3","0.5","0.4","0.8","6.1","5.2","7.4","4.3","86.3","114.9"
"","Ousmane Dieng","Okc","F","21.7","29","11.4","16.2","12.6","16","0.688","45","0.556","59","0.288","0.486","0.504","3.9","2.3","0.9","0.5","0.2","0.5","6.2","4.8","7.1","7","104.4","100.7"
"","Micah Potter","Uta","C","26.8","21","17.6","9.5","16.2","7","0.857","14","0.571","53","0.358","0.545","0.564","3.8","3.9","0.7","0.2","0.4","0.6","7.6","4.5","8.3","5","112.3","115.3"
"","Dalen Terry","Chi","F","22.6","47","12.7","13.8","19.5","42","0.69","90","0.511","54","0.352","0.517","0.548","3.8","1.5","1.2","0.4","0.2","0.7","5.3","5","6.5","6","106.4","109.8"
"","Jevon Carter","Chi","G","29.4","24","7.2","20.7","9.7","8","0.75","22","0.545","52","0.385","0.568","0.58","3.8","0.9","0.9","0.3","0","0.3","4.7","4.6","5.5","8.1","112.8","116.2"
